1.1068e+20+9.77154e-310j;6.73306e+19+1.01186e-311j;3.49903e+20+1.80353e-290j;1.89777e+20+1.87154e-292j;2.65914e+20+3.62143e-292j;2.92182e+19+1.72784e-298j;1.61593e+20+0j;2.08264e+20+0j;2.61406e+20+0j;2.16877e+20+0j;2.14962e+20+0j;1.56526e+20+0j;8.97235e+19+2.68692e-290j;1.15733e+20+2.73315e-292j;1.52001e+20+2.73315e-292j;1.1068e+20+1.34076e-298j;42.592+0j;5.06073e+19+0j;44.3198+2.27555e-290j;1.1068e+20+2.34984e-292j;1.56526e+20+2.34984e-292j;1.9592e+20+1.08957e-298j;2.29364e+20+0j;1.56526e+20+0j
60+7.81723e-309j;2.60099e+19+8.09484e-311j;2.18507e+20+1.80353e-290j;3.25643e+20+1.87154e-292j;1.09388e+20+3.62143e-292j;1.35398e+20+1.72784e-298j;1.40933e+20+0j;1.52001e+20+0j;3.76611e+20+0j;1.93851e+20+0j;3.25384e+20+0j;1.97847e+20+0j;8.97235e+19+1.45658e-308j;2.26414e+20+1.48164e-310j;2.29107e+20+1.48164e-310j;2.17911e+20+7.26829e-317j;5.84363e+19+0j;1.56526e+20+0j;9.0758e+19+2.27555e-290j;3.57848e+19+2.34984e-292j;2.67206e+20+2.34984e-292j;2.14962e+20+1.08957e-298j;1.70928e+20+0j;1.96937e+20+0j
1.1068e+20+1.80253e-290j;4.13207e+19+1.86654e-292j;4.1376e+19+1.8222e-290j;127.425+1.87154e-292j;1.56526e+20+3.62143e-292j;144.576+1.72784e-298j;5.0913e+19+0j;59.5+0j;2.96424e+20+0j;2.4418e+20+0j;1.10422e+20+0j;1.36432e+20+0j;6.05053e+19+2.91317e-309j;8.65152e+19+2.96329e-311j;3.85632e+20+2.96329e-311j;2.46222e+20+1.45366e-317j;1.91282e+20+0j;129.788+0j;2.01438e+20+7.40146e-309j;1.58089e+20+7.64312e-311j;4.70608e+20+7.64312e-311j;3.25643e+20+3.54393e-317j;3.27453e+20+0j;1.96937e+20+0j
36+7.81723e-309j;1.1068e+20+8.09484e-311j;1.31341e+20+1.80353e-290j;2.23912e+20+1.87154e-292j;5.84363e+19+3.62143e-292j;2.62705e+20+1.72784e-298j;3.02527e+19+0j;7.69229e+19+0j;3.08527e+20+0j;3.84079e+20+0j;1.51743e+20+0j;1.36432e+20+0j;1.1068e+20+2.68692e-290j;1.27836e+20+2.73315e-292j;3.56173e+20+2.73315e-292j;4.02748e+20+1.34076e-298j;2.97201e+20+0j;2.17292e+20+0j;1.26543e+20+1.23358e-308j;2.27448e+20+1.27385e-310j;3.59134e+20+1.27385e-310j;5.13733e+20+5.90655e-317j;2.29364e+20+0j;3.53463e+20+0j
48+5.86292e-309j;1.3669e+20+6.07113e-311j;1.52001e+20+9.83769e-309j;3.13932e+20+1.01457e-310j;5.84363e+19+1.96318e-310j;2.62705e+20+9.36664e-317j;28.6+0j;2.06604e+19+0j;2.92182e+19+0j;2.92182e+19+0j;4.13207e+19+0j;96.589+0j;1.71186e+20+7.28292e-309j;4.13207e+19+7.40822e-311j;3.48427e+20+7.40822e-311j;2.50747e+20+3.63415e-317j;2.97201e+20+0j;1.66685e+20+0j;3.57848e+19+9.86862e-309j;1.16768e+20+1.01908e-310j;2.48454e+20+1.01908e-310j;2.19724e+20+4.72524e-317j;1.70928e+20+0j;74.4544+0j
24+3.90861e-309j;1.1068e+20+4.04742e-311j;1.31341e+20+1.80353e-290j;4.67256e+19+1.87154e-292j;8.76545e+19+3.62143e-292j;1.56526e+20+1.72784e-298j;1.40933e+20+0j;6.19811e+19+0j;1.61649e+20+0j;1.85744e+20+0j;1.97847e+20+0j;1.36432e+20+0j;1.39899e+20+1.16527e-308j;1.27836e+20+1.18532e-310j;1.22542e+20+1.18532e-310j;1.87786e+20+5.81463e-317j;1.56526e+20+0j;101.619+0j;3.57848e+19+9.86862e-309j;1.16768e+20+1.01908e-310j;1.97847e+20+1.01908e-310j;3.25643e+20+4.72524e-317j;1.70928e+20+0j;1.96937e+20+0j
36+7.81723e-309j;1.1068e+20+8.09484e-311j;1.31341e+20+1.80353e-290j;2.23912e+20+1.87154e-292j;5.84363e+19+3.62143e-292j;2.62705e+20+1.72784e-298j;3.02527e+19+0j;7.69229e+19+0j;3.08527e+20+0j;3.84079e+20+0j;1.51743e+20+0j;1.36432e+20+0j;1.1068e+20+2.68692e-290j;1.27836e+20+2.73315e-292j;3.56173e+20+2.73315e-292j;4.02748e+20+1.34076e-298j;2.97201e+20+0j;2.17292e+20+0j;1.26543e+20+1.23358e-308j;2.27448e+20+1.27385e-310j;3.59134e+20+1.27385e-310j;5.13733e+20+5.90655e-317j;2.29364e+20+0j;3.53463e+20+0j
48+5.86292e-309j;1.3669e+20+6.07113e-311j;1.52001e+20+9.83769e-309j;3.13932e+20+1.01457e-310j;5.84363e+19+1.96318e-310j;2.62705e+20+9.36664e-317j;28.6+0j;2.06604e+19+0j;2.92182e+19+0j;2.92182e+19+0j;4.13207e+19+0j;96.589+0j;1.71186e+20+7.28292e-309j;4.13207e+19+7.40822e-311j;3.48427e+20+7.40822e-311j;2.50747e+20+3.63415e-317j;2.97201e+20+0j;1.66685e+20+0j;3.57848e+19+9.86862e-309j;1.16768e+20+1.01908e-310j;2.48454e+20+1.01908e-310j;2.19724e+20+4.72524e-317j;1.70928e+20+0j;74.4544+0j
24+3.90861e-309j;1.1068e+20+4.04742e-311j;1.31341e+20+1.80353e-290j;4.67256e+19+1.87154e-292j;8.76545e+19+3.62143e-292j;1.56526e+20+1.72784e-298j;1.40933e+20+0j;6.19811e+19+0j;1.61649e+20+0j;1.85744e+20+0j;1.97847e+20+0j;1.36432e+20+0j;1.39899e+20+1.16527e-308j;1.27836e+20+1.18532e-310j;1.22542e+20+1.18532e-310j;1.87786e+20+5.81463e-317j;1.56526e+20+0j;101.619+0j;3.57848e+19+9.86862e-309j;1.16768e+20+1.01908e-310j;1.97847e+20+1.01908e-310j;3.25643e+20+4.72524e-317j;1.70928e+20+0j;1.96937e+20+0j
36+7.81723e-309j;1.1068e+20+8.09484e-311j;1.31341e+20+1.80353e-290j;2.23912e+20+1.87154e-292j;5.84363e+19+3.62143e-292j;2.62705e+20+1.72784e-298j;3.02527e+19+0j;7.69229e+19+0j;3.08527e+20+0j;3.84079e+20+0j;1.51743e+20+0j;1.36432e+20+0j;1.1068e+20+2.68692e-290j;1.27836e+20+2.73315e-292j;3.56173e+20+2.73315e-292j;4.02748e+20+1.34076e-298j;2.97201e+20+0j;2.17292e+20+0j;1.26543e+20+1.23358e-308j;2.27448e+20+1.27385e-310j;3.59134e+20+1.27385e-310j;5.13733e+20+5.90655e-317j;2.29364e+20+0j;3.53463e+20+0j
48+5.86292e-309j;1.3669e+20+6.07113e-311j;1.52001e+20+9.83769e-309j;3.13932e+20+1.01457e-310j;5.84363e+19+1.96318e-310j;2.62705e+20+9.36664e-317j;28.6+0j;2.06604e+19+0j;2.92182e+19+0j;2.92182e+19+0j;4.13207e+19+0j;96.589+0j;1.71186e+20+7.28292e-309j;4.13207e+19+7.40822e-311j;3.48427e+20+7.40822e-311j;2.50747e+20+3.63415e-317j;2.97201e+20+0j;1.66685e+20+0j;3.57848e+19+9.86862e-309j;1.16768e+20+1.01908e-310j;2.48454e+20+1.01908e-310j;2.19724e+20+4.72524e-317j;1.70928e+20+0j;74.4544+0j
